BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,SOL_Open,SOL_High,SOL_Low,SOL_Close,SOL_Volume,BNB_Open,BNB_High,BNB_Low,BNB_Close,BNB_Volume,Date_time,Year,Month,Day,Date_unix
46311.74609375,47827.3125,46288.484375,47686.8125,24582667004,3683.047119140625,3769.91796875,3682.28662109375,3769.697021484375,9776191466,170.3108367919922,178.96224975585938,170.19554138183594,178.5179443359375,1084780603,511.9103698730469,527.3527221679688,511.9035339355469,527.3527221679688,1622547014,0,2022,1,1,1640995200
47680.92578125,47881.40625,46856.9375,47345.21875,27951569547,3769.29833984375,3836.161865234375,3727.357421875,3829.56494140625,9881471548,178.53240966796875,179.43235778808594,175.01231384277344,176.38284301757812,995389409,527.2916259765625,533.3710327148438,518.7535400390625,531.3966674804688,1462276185,1,2022,1,2,1641081600
47343.54296875,47510.7265625,45835.96484375,46458.1171875,33071628362,3829.53564453125,3836.19873046875,3698.047607421875,3761.38037109375,12080777893,176.3863067626953,176.3863067626953,167.5339813232422,170.29774475097656,1345778058,531.3888549804688,532.0955810546875,510.6521606445313,512.135986328125,1949153130,2,2022,1,3,1641168000
46458.8515625,47406.546875,45752.46484375,45897.57421875,42494677905,3761.361572265625,3876.78515625,3723.349853515625,3794.056640625,14030925983,170.28611755371094,173.735107421875,166.74012756347656,167.93890380859375,1499265336,512.1303100585938,519.70166015625,503.2153625488281,507.506103515625,2200879165,3,2022,1,4,1641254400
45899.359375,46929.046875,42798.22265625,43569.00390625,36851084859,3794.26904296875,3842.059814453125,3456.745361328125,3550.386962890625,18061338502,167.94033813476562,171.11045837402344,148.2161102294922,155.0997314453125,2123759721,507.5978088378906,515.2391967773438,462.05755615234375,475.0569458007813,2870757788,4,2022,1,5,1641340800
43565.51171875,43748.71875,42645.5390625,43160.9296875,30208048289,3549.708984375,3549.708984375,3335.376708984375,3418.408203125,24293791313,155.10592651367188,155.10592651367188,146.66766357421875,150.4313507080078,2097172620,475.0790710449219,481.0628356933594,460.2485046386719,473.2756042480469,4400228627,5,2022,1,6,1641427200
43153.5703125,43153.5703125,41077.4453125,41557.90234375,84196607520,3417.837890625,3420.4619140625,3117.38134765625,3193.21044921875,24494179209,150.4134063720703,150.5209503173828,135.14999389648438,136.40281677246094,2926269672,473.00006103515625,474.2962036132813,439.260009765625,447.7884826660156,4613172287,6,2022,1,7,1641513600
41561.46484375,42228.94140625,40672.27734375,41733.94140625,28066355845,3193.50244140625,3240.304443359375,3020.880859375,3091.97265625,16037732700,136.40016174316406,147.83731079101562,134.02101135253906,142.51345825195312,2730000333,447.8568115234375,458.4837951660156,419.1954650878906,430.24615478515625,4068139021,7,2022,1,8,1641600000
41734.7265625,42663.94921875,41338.16015625,41911.6015625,21294384372,3091.6962890625,3206.790771484375,3075.911376953125,3157.75146484375,12334683863,142.54312133789062,145.44041442871094,138.39410400390625,140.83900451660156,1599123912,430.2531127929688,444.4932556152344,428.239501953125,438.8030700683594,3347862691,8,2022,1,9,1641686400
41910.23046875,42199.484375,39796.5703125,41821.26171875,32104232331,3157.570556640625,3177.21337890625,2947.68359375,3083.097900390625,19535744145,140.83363342285156,143.56336975097656,130.7969970703125,135.95494079589844,2040883379,438.78564453125,445.0361633300781,408.6987915039063,424.9337768554688,4156063326,9,2022,1,10,1641772800
41819.5078125,43001.15625,41407.75390625,42735.85546875,26327648900,3082.990966796875,3247.511962890625,3061.140625,3238.111572265625,15211447193,135.94090270996094,143.29904174804688,134.13397216796875,140.18385314941406,1554197314,424.8912048339844,467.2810668945313,422.00091552734375,463.518310546875,4600615710,10,2022,1,11,1641859200
42742.1796875,44135.3671875,42528.98828125,43949.1015625,33499938689,3238.449951171875,3401.219970703125,3216.718017578125,3372.25830078125,16662871689,140.20375061035156,152.9364776611328,138.5462646484375,151.70310974121094,2242337550,463.562744140625,489.3273010253906,457.1161193847656,487.0074157714844,4131335431,11,2022,1,12,1641945600
43946.7421875,44278.421875,42447.04296875,42591.5703125,47691135082,3372.10498046875,3396.9697265625,3247.91748046875,3248.28857421875,15294466275,151.6905975341797,157.54373168945312,146.01004028320312,146.01004028320312,2177023564,487.0425720214844,488.2112426757813,467.8756103515625,475.0291137695313,4151007744,12,2022,1,13,1642032000
42598.87109375,43346.6875,41982.6171875,43099.69921875,23577403399,3248.648681640625,3330.76611328125,3203.82373046875,3310.00146484375,13562957230,146.02590942382812,150.469482421875,142.39068603515625,146.15902709960938,1822320951,475.127197265625,491.66064453125,468.9396057128906,489.867431640625,3112235914,13,2022,1,14,1642118400
43101.8984375,43724.671875,42669.03515625,43177.3984375,18371348298,3309.84423828125,3364.537841796875,3278.6708984375,3330.53076171875,9619999078,146.18002319335938,149.35018920898438,144.4191436767578,147.80117797851562,1123271784,489.9179992675781,501.3111267089844,486.305908203125,494.9880676269531,1766015929,14,2022,1,15,1642204800
43172.0390625,43436.80859375,42691.0234375,43113.87890625,17902097845,3330.38720703125,3376.401123046875,3291.563720703125,3350.921875,9505934874,147.78660583496094,151.7723388671875,146.4017791748047,147.8565216064453,1172854751,494.9241027832031,505.3009643554688,489.5021362304688,498.4279174804688,1771927950,15,2022,1,16,1642291200
43118.12109375,43179.390625,41680.3203125,42250.55078125,21690904261,3350.947265625,3355.8193359375,3157.22412109375,3212.304931640625,12344309617,147.8767852783203,148.20587158203125,137.50003051757812,139.92601013183594,1487772250,498.5061645507813,498.9439086914063,468.5765075683594,475.7098693847656,2134608006,16,2022,1,17,1642377600
42250.07421875,42534.40234375,41392.21484375,42375.6328125,22417209227,3212.28759765625,3236.01611328125,3096.12353515625,3164.025146484375,13024154091,139.93276977539062,142.46649169921875,134.8957977294922,141.58718872070312,1449435942,475.7364196777344,479.662109375,458.1524658203125,472.0050659179688,2106859289,17,2022,1,18,1642464000
42374.0390625,42478.3046875,41242.9140625,41744.328125,23091543258,3163.850341796875,3171.158447265625,3055.21240234375,3095.825927734375,13187424144,141.5469970703125,142.29408264160156,133.3551788330078,135.79238891601562,1444663456,471.9172058105469,472.7742919921875,454.7586059570313,462.8220825195313,1780063381,18,2022,1,19,1642550400
